donor, acceptor, , 
-1081.00, -59.15, , 
-403.77, -621.26, , 
499.64, -89.63, , 
278.89, 170.17, , 
-641.91, 213.75, , 
949.98, -986.97, , 
118.20, -338.60, , 
-508.36, 205.08, , 
1592.63, -436.13, , 
633.33, -11.90, , 
478.50, 603.07, , 
689.19, 13.68, , 
1125.12, -390.38, , 
1163.30, 162.15, , 
-1671.78, 250.79, , 
-1359.64, 148.00, , 
1464.37, -524.79, , 
895.85, 423.70, , 
1388.61, -215.38, , 
1890.50, -45.51, , 
-1331.52, -608.65, , 
519.42, 269.55, , 
2159.26, -15.55, , 
-1819.97, -108.65, , 
109.73, -740.35, , 
2388.35, 241.07, , 
-2370.32, -298.09, , 
828.13, 218.08, , 
-1311.51, 773.35, , 
1241.68, 447.77, , 
-699.96, -265.36, , 
-1083.14, -298.66, , 
-1439.81, 410.58, , 
160.79, -989.21, , 
631.73, 938.02, , 
534.25, 61.35, , 
-1079.98, 386.49, , 
2922.38, 465.54, , 
2538.45, -430.72, , 
588.70, 29.16, , 
-1718.00, 53.76, , 
492.76, 211.90, , 
-128.31, 153.11, , 
180.45, -76.45, , 
-1843.81, -55.68, , 
201.74, -523.80, , 
-720.98, -76.11, , 
591.04, 399.30, , 
-705.70, 723.96, , 
402.94, 717.71, , 
1004.21, -272.39, , 
633.83, -1070.36, , 
722.31, -677.85, , 
968.88, 540.60, , 
-992.31, 372.91, , 
522.47, 470.61, , 
22.36, 73.21, , 
403.31, -220.08, , 
-1649.87, -1096.17, , 
-775.78, -562.78, , 
-242.20, 302.30, , 
1267.54, 98.55, , 
65.82, -42.92, , 
-3529.18, -341.95, , 
-764.17, 651.46, , 
2253.25, -241.96, , 
-1226.26, -55.40, , 
276.04, 279.80, , 
-1.00, -20.26, , 
-696.03, -914.87, , 
1745.07, -542.65, , 
531.41, -307.82, , 
490.41, -206.07, , 
731.68, 593.61, , 
849.36, 104.61, , 
-235.03, -33.97, , 
-556.23, -152.58, , 
172.64, -476.23, , 
-860.65, -84.46, , 
-1685.64, 534.82, , 
-697.54, -229.01, , 
-1447.24, -291.00, , 
-1682.28, 669.34, , 
2674.96, -324.65, , 
-1977.23, -862.16, , 
2427.97, -253.07, , 
-771.81, 571.25, , 
1210.60, -48.97, , 
1229.41, -100.46, , 
-286.54, -279.01, , 
-1436.56, -626.02, , 
